Index,Date,Close
SP500,2019-07-05,-0.001807534
SP500,2019-07-08,-0.004847173
SP500,2019-07-09,0.001235793
SP500,2019-07-10,0.004500547
SP500,2019-07-11,0.00228262
SP500,2019-07-12,0.004609534
SP500,2019-07-15,0.000175854
SP500,2019-07-16,-0.003409585
SP500,2019-07-17,-0.006552665
SP500,2019-07-18,0.003575598
SP500,2019-07-19,-0.006195889
SP500,2019-07-22,0.002824702
SP500,2019-07-23,0.006824145
SP500,2019-07-24,0.004677193
SP500,2019-07-25,-0.005276296
SP500,2019-07-26,0.007360536
SP500,2019-07-29,-0.001617422
SP500,2019-07-30,-0.002581985
SP500,2019-07-31,-0.010945207
SP500,2019-08-01,-0.009039528
SP500,2019-08-02,-0.007309389
SP500,2019-08-05,-0.030230182
SP500,2019-08-06,0.012933024
SP500,2019-08-07,0.000766582
SP500,2019-08-08,0.018588462
SP500,2019-08-09,-0.006638593
SP500,2019-08-12,-0.012393809
SP500,2019-08-13,0.015018346
SP500,2019-08-14,-0.029730352
SP500,2019-08-15,0.002461237
SP500,2019-08-16,0.014323058
SP500,2019-08-19,0.012033176
SP500,2019-08-20,-0.007946215
SP500,2019-08-21,0.00821298
SP500,2019-08-22,-0.000506203
SP500,2019-08-23,-0.026288881
SP500,2019-08-26,0.010923113
SP500,2019-08-27,-0.003208322
SP500,2019-08-28,0.006524152
SP500,2019-08-29,0.012607482
SP500,2019-08-30,0.000642581
SP500,2019-09-03,-0.006923009
SP500,2019-09-04,0.010783725
SP500,2019-09-05,0.012925913
SP500,2019-09-06,0.000910191
SP500,2019-09-09,-9.40147E-05
SP500,2019-09-10,0.000322252
SP500,2019-09-11,0.007203672
SP500,2019-09-12,0.002875016
SP500,2019-09-13,-0.000724677
SP500,2019-09-16,-0.003140513
SP500,2019-09-17,0.002578425
SP500,2019-09-18,0.000342633
SP500,2019-09-19,1.99745E-05
SP500,2019-09-20,-0.004907599
SP500,2019-09-23,-9.69406E-05
SP500,2019-09-24,-0.008451989
SP500,2019-09-25,0.006139685
SP500,2019-09-26,-0.002431871
SP500,2019-09-27,-0.005330535
SP500,2019-09-30,0.00503491
SP500,2019-10-01,-0.012334127
SP500,2019-10-02,-0.018065404
SP500,2019-10-03,0.007940305
SP500,2019-10-04,0.014116785
SP500,2019-10-07,-0.004488352
SP500,2019-10-08,-0.01568316
SP500,2019-10-09,0.009063297
SP500,2019-10-10,0.006395202
SP500,2019-10-11,0.01087958
SP500,2019-10-14,-0.001388082
SP500,2019-10-15,0.009906445
SP500,2019-10-16,-0.002001545
SP500,2019-10-17,0.002759022
SP500,2019-10-18,-0.003927046
SP500,2019-10-21,0.006848114
SP500,2019-10-22,-0.003575049
SP500,2019-10-23,0.002843103
SP500,2019-10-24,0.001918605
SP500,2019-10-25,0.00406443
SP500,2019-10-28,0.00556582
