"Model","Identifier","Name","Size","Country","Currency","Sector","Average","Factor 1","Factor 2","Factor 3","Factor 4","Factor 5","Factor 6","Factor 7","Factor 8","Factor 9","Factor 10","Factor 11","Factor 12","Factor 13","Factor 14","Factor 15","Factor 16","Factor 17","Factor 18","Factor 19","Factor 20","Residual Variance"
"Uk","GB00BKKMKR23","RSA Insurance Group",7551334000.00,"UNITED KINGDOM","GBP","Finance",2.19002375696559e-03,0.01,4.701613e-05,-3.144877e-03,-2.464184e-03,-2.837656e-03,6.718287e-04,4.847188e-03,-6.84883e-04,2.311571e-03,-5.688525e-03,1.440268e-03,-3.008914e-03,-6.822629e-04,-6.847643e-04,6.51487e-04,2.126487e-04,-3.269466e-03,-4.158122e-03,4.481762e-04,3.715979e-03,3.182286e-04
"Uk","DE000TUAG000","TUI",7528169000.00,"UNITED KINGDOM","GBP","Consumer Services",4.05645338491893e-04,0.02,0.01,1.476188e-05,-2.779787e-03,-6.233267e-03,-5.197583e-03,-3.402994e-03,-2.715684e-03,1.109337e-05,-6.023468e-03,3.410769e-04,-2.350514e-03,-2.362822e-03,-1.639155e-03,-6.31542e-03,4.609855e-04,3.240795e-03,1.791322e-03,-3.955384e-03,8.228189e-04,1.237937e-03
"Uk","GB00B7KR2P84","easyJet",7419235000.00,"UNITED KINGDOM","GBP","Transportation",4.22053321717863e-04,0.02,0.02,-6.737592e-04,3.247428e-04,-5.989516e-03,-5.161139e-03,-6.952474e-04,-0.01,3.946689e-03,-7.019766e-03,-2.497487e-03,-3.359659e-03,-9.702719e-04,-4.73033e-03,-7.703873e-03,1.249534e-03,4.523071e-03,2.451198e-03,-5.085277e-03,-5.075634e-03,1.295675e-03
"Uk","GB0001367019","British Land",7301096000.00,"UNITED KINGDOM","GBP","Finance",2.63776215620961e-04,0.01,0.01,-4.909418e-03,-3.791668e-03,1.5673e-03,-1.494613e-03,-2.169395e-03,-7.077002e-03,2.66216e-03,1.141812e-03,4.349376e-03,2.438419e-03,-4.922054e-03,-5.342158e-04,-2.405689e-03,-9.821734e-04,7.577654e-04,-3.805012e-04,6.030114e-04,7.006925e-04,2.324957e-04
"Uk","GB00BGDT3G23","Rightmove",7293290000.00,"UNITED KINGDOM","GBP","Technology Services",3.00200133656811e-03,0.01,0.01,3.590486e-03,-5.496995e-03,7.465541e-03,-2.732318e-03,1.197855e-03,6.419184e-03,-2.420094e-03,2.614324e-03,7.081295e-04,-3.575526e-03,9.15041e-04,-4.077372e-04,-3.678717e-04,3.555844e-03,-3.273867e-03,7.15653e-04,2.717566e-03,-8.326992e-04,4.193839e-04
"Uk","JE00B6T5S470","Polymetal Intl",7221351000.00,"UNITED KINGDOM","GBP","Non-Energy Minerals",3.998505268543e-03,-3.638578e-04,-0.01,-9.521462e-03,-0.01,8.001536e-03,-5.582835e-03,-0.01,1.674177e-03,1.676709e-04,-1.598895e-03,2.461312e-03,-6.34822e-03,-7.272582e-04,9.562261e-04,1.291621e-03,-2.230291e-03,5.589518e-03,3.472342e-03,-8.055898e-04,6.425885e-03,1.00212e-03
"Uk","GB00BKX5CN86","JUST EAT",7165497000.00,"UNITED KINGDOM","GBP","Retail Trade",3.86974329913795e-03,0.01,5.727176e-04,4.162985e-03,-2.946426e-03,4.59651e-05,-5.932229e-03,-7.992602e-04,7.376618e-03,-1.326374e-03,3.944792e-03,6.557327e-03,-4.097794e-03,4.059941e-03,-5.017505e-03,1.6801e-03,-1.0386e-03,5.688786e-03,3.380269e-03,-6.786949e-04,-3.322629e-03,1.757683e-03
"Uk","GB00BVYVFW23","Auto Trader Group",7140132000.00,"UNITED KINGDOM","GBP","Commercial Services",2.55156099858389e-03,0.01,0.01,2.828782e-03,-3.270976e-03,1.831772e-03,-1.006337e-04,-2.710206e-03,7.129134e-03,-1.771573e-03,1.957654e-03,1.764572e-03,-4.876036e-04,2.027953e-03,-3.979011e-03,2.373872e-03,5.047983e-03,-3.514935e-03,-2.736728e-03,3.589408e-03,-5.552274e-03,8.410264e-04
"Uk","GB00BGXQNP29","Phoenix Group Holdings",7080687000.00,"UNITED KINGDOM","GBP","Finance",2.16953915996691e-03,0.01,7.304402e-03,-1.11544e-03,6.092185e-04,-2.709381e-03,-1.313433e-03,3.032308e-03,-4.440017e-03,-7.338103e-04,-3.467825e-03,-2.671223e-04,-8.938194e-04,7.187745e-04,-3.229589e-03,-1.959184e-03,8.731827e-05,-1.808373e-03,-6.812162e-04,-1.037734e-03,1.921593e-03,2.449634e-04
"Uk","GB0008220112","DS Smith",7067801000.00,"UNITED KINGDOM","GBP","Process Industries",1.23116466223532e-03,0.02,-4.069407e-03,-2.180519e-03,2.645178e-03,-1.315035e-03,-7.026392e-03,2.907505e-03,1.769646e-03,-6.487803e-03,-7.171404e-03,-1.176319e-03,4.189336e-03,-4.09135e-03,1.755709e-04,-1.783861e-03,1.856167e-04,2.769624e-04,-3.753483e-03,1.541939e-04,-1.12664e-03,5.006514e-04
